Epoch [1/350], Loss-Train: 1.0800, Accuracy-Train: 0.4577, Loss-Test: 1.0721, Accuracy-Test: 0.4570
Epoch [2/350], Loss-Train: 1.0691, Accuracy-Train: 0.4577, Loss-Test: 1.0616, Accuracy-Test: 0.4570
Epoch [3/350], Loss-Train: 1.0581, Accuracy-Train: 0.4577, Loss-Test: 1.0555, Accuracy-Test: 0.4570
Epoch [4/350], Loss-Train: 1.0498, Accuracy-Train: 0.4577, Loss-Test: 1.0432, Accuracy-Test: 0.4570
Epoch [5/350], Loss-Train: 1.0488, Accuracy-Train: 0.4577, Loss-Test: 1.0349, Accuracy-Test: 0.4570
Epoch [6/350], Loss-Train: 1.0478, Accuracy-Train: 0.4577, Loss-Test: 1.0522, Accuracy-Test: 0.4570
Epoch [7/350], Loss-Train: 1.0510, Accuracy-Train: 0.4577, Loss-Test: 1.0472, Accuracy-Test: 0.4570
Epoch [8/350], Loss-Train: 1.0466, Accuracy-Train: 0.4577, Loss-Test: 1.0582, Accuracy-Test: 0.4570
Epoch [9/350], Loss-Train: 1.0520, Accuracy-Train: 0.4577, Loss-Test: 1.0349, Accuracy-Test: 0.4570
Epoch [10/350], Loss-Train: 1.0441, Accuracy-Train: 0.4577, Loss-Test: 1.0522, Accuracy-Test: 0.4570
Epoch [11/350], Loss-Train: 1.0491, Accuracy-Train: 0.4577, Loss-Test: 1.0344, Accuracy-Test: 0.4570
Epoch [12/350], Loss-Train: 1.0533, Accuracy-Train: 0.4577, Loss-Test: 1.0416, Accuracy-Test: 0.4570
Epoch [13/350], Loss-Train: 1.0463, Accuracy-Train: 0.4577, Loss-Test: 1.0521, Accuracy-Test: 0.4570
Epoch [14/350], Loss-Train: 1.0478, Accuracy-Train: 0.4577, Loss-Test: 1.0520, Accuracy-Test: 0.4570
Epoch [15/350], Loss-Train: 1.0461, Accuracy-Train: 0.4577, Loss-Test: 1.0588, Accuracy-Test: 0.4570
Epoch [16/350], Loss-Train: 1.0534, Accuracy-Train: 0.4577, Loss-Test: 1.0524, Accuracy-Test: 0.4570
Epoch [17/350], Loss-Train: 1.0548, Accuracy-Train: 0.4577, Loss-Test: 1.0582, Accuracy-Test: 0.4570
Epoch [18/350], Loss-Train: 1.0511, Accuracy-Train: 0.4577, Loss-Test: 1.0586, Accuracy-Test: 0.4570
Epoch [19/350], Loss-Train: 1.0557, Accuracy-Train: 0.4577, Loss-Test: 1.0354, Accuracy-Test: 0.4570
Epoch [20/350], Loss-Train: 1.0524, Accuracy-Train: 0.4577, Loss-Test: 1.0421, Accuracy-Test: 0.4570
Epoch [21/350], Loss-Train: 1.0548, Accuracy-Train: 0.4577, Loss-Test: 1.0520, Accuracy-Test: 0.4570
Epoch [22/350], Loss-Train: 1.0492, Accuracy-Train: 0.4577, Loss-Test: 1.0415, Accuracy-Test: 0.4570
Epoch [23/350], Loss-Train: 1.0490, Accuracy-Train: 0.4577, Loss-Test: 1.0522, Accuracy-Test: 0.4570
Epoch [24/350], Loss-Train: 1.0462, Accuracy-Train: 0.4577, Loss-Test: 1.0347, Accuracy-Test: 0.4570
Epoch [25/350], Loss-Train: 1.0475, Accuracy-Train: 0.4577, Loss-Test: 1.0410, Accuracy-Test: 0.4570
Epoch [26/350], Loss-Train: 1.0440, Accuracy-Train: 0.4577, Loss-Test: 1.0350, Accuracy-Test: 0.4570
Epoch [27/350], Loss-Train: 1.0580, Accuracy-Train: 0.4577, Loss-Test: 1.0473, Accuracy-Test: 0.4570
Epoch [28/350], Loss-Train: 1.0491, Accuracy-Train: 0.4577, Loss-Test: 1.0517, Accuracy-Test: 0.4570
Epoch [29/350], Loss-Train: 1.0460, Accuracy-Train: 0.4577, Loss-Test: 1.0345, Accuracy-Test: 0.4570
Epoch [30/350], Loss-Train: 1.0442, Accuracy-Train: 0.4577, Loss-Test: 1.0523, Accuracy-Test: 0.4570
Epoch [31/350], Loss-Train: 1.0497, Accuracy-Train: 0.4577, Loss-Test: 1.0410, Accuracy-Test: 0.4570
Epoch [32/350], Loss-Train: 1.0441, Accuracy-Train: 0.4577, Loss-Test: 1.0471, Accuracy-Test: 0.4570
Epoch [33/350], Loss-Train: 1.0425, Accuracy-Train: 0.4577, Loss-Test: 1.0587, Accuracy-Test: 0.4570
Epoch [34/350], Loss-Train: 1.0482, Accuracy-Train: 0.4577, Loss-Test: 1.0516, Accuracy-Test: 0.4570
